
--- chase, drag +300 px, button held still 5000 ms
  elapsed   rawDt   inYaw   lookYaw
     33.27  0.0167       0     0.164
     33.32  0.0166       0    0.1607
     33.37  0.0165       0    0.1572
    33.419   0.016       0    0.1536
    33.469  0.0164       0    0.1499
    33.603  0.0165       0    0.1389
    33.653  0.0172       0     0.136
    33.703  0.0173       0     0.133
    33.786  0.0173       0    0.1277
    33.836  0.0166       0    0.1247
    33.902  0.0333       0    0.1206
    34.019  0.0329   -0.07    0.1237
    34.102  0.0333       0     0.159
    34.235  0.0496       0    0.1778
    34.402  0.0167       0    0.1805
    34.552  0.0664       0    0.1806
    34.719  0.0496       0    0.1806
    34.855  0.0196       0    0.1806
    34.918  0.0327       0    0.1806
    35.035  0.0159       0    0.1806
    35.168  0.0167       0    0.1806
    35.385  0.0997       0    0.1806
    35.502  0.0333       0    0.1806
    35.635  0.0167       0    0.1806
    35.735  0.0174       0    0.1806
    35.802  0.0333       0    0.1806
    35.967  0.0159       0    0.1806
    36.067  0.0158       0    0.1806
    36.234   0.066       0    0.1806
    36.401  0.0167   -0.07    0.1837
    36.701  0.6972       0    0.2495
    36.769  0.0167       0    0.2503
    36.968  0.0075       0    0.2506
    37.035  0.0162       0    0.2506
    37.185  0.0175       0    0.2506
     37.37   0.068       0    0.3089
    37.535  0.0158       0    0.3198
    37.685  0.0159       0    0.3206
    37.811   0.026       0    0.3206
    37.969  0.0496       0    0.3206
    38.137  0.0176       0    0.3206
     38.22  0.0334       0    0.3206
    38.471  0.3157       0    0.3757
    38.622   0.051       0    0.3893
    38.839  0.2834   -0.07    0.4297
    39.056    0.25       0    0.4594
    39.206  0.0341       0    0.4605
     39.34  0.0173       0    0.4606
    39.472  0.0163       0    0.4705
    39.606  0.0166       0    0.5188
    39.823  0.1166       0    0.5303
    39.957  0.0167       0    0.5306
    40.208  0.0509       0    0.5306
    40.358  0.3332       0    0.5306
    40.491  0.0167       0     0.576
    40.541  0.0174       0    0.5889
    40.607  0.0171       0    0.5966
    40.741  0.0166       0    0.6002
    40.909  0.0339       0    0.6006
    40.959  0.0167       0    0.6006
    41.092  0.0166       0    0.6006
    41.309  0.0167       0    0.6006
    41.525  0.0168       0    0.6006
    41.609  0.0168       0    0.6006
    41.659  0.0176       0    0.6006
    41.825  0.0166       0    0.6006
    41.875  0.0153       0    0.6006
    42.008  0.0997       0    0.6006
    42.125  0.0172       0    0.6006
    42.191   0.033       0    0.6006
    42.258  0.0165       0    0.6006
    42.308  0.0167       0    0.6006
    42.392  0.0333       0    0.6006
    42.542  0.3496       0    0.6006
    42.759  0.3157       0    0.6648
     42.91  0.0344       0    0.6702
    43.143   0.033       0    0.6706
    43.393  0.3833       0    0.6706
    43.543  0.1333       0    0.6706
    43.643  0.0166       0    0.6706
    43.693  0.0168       0    0.6706
    43.959  0.0659       0    0.6706
    44.143  0.1169       0    0.7288
     44.36  0.0169       0    0.7403
    44.494  0.2502       0    0.7406
    44.743  0.1001       0    0.7406
     44.96  0.3167       0    0.7406
    45.194  0.0336       0    0.7406
    45.243  0.0162       0    0.7406
    45.327  0.0162       0    0.7406
    45.379  0.0182       0    0.7406
     45.56  0.0165       0    0.7406
    45.826  0.1666       0    0.7406
    46.111  0.8337       0    0.7406
    46.178   0.017       0    0.7406
    46.344  0.1504       0    0.7406
    46.562  0.1167       0    0.7406
    46.645  0.0166       0    0.7406
    46.945    0.15       0    0.7406
    47.079  0.0167       0    0.7406
    47.229  0.0333       0    0.7406
    47.328  0.0163       0    0.7406
    47.379  0.0172       0    0.7406
    47.429  0.0167       0    0.7406
    47.479   0.017       0    0.7406
    47.692  0.2492       0    0.7406
    47.777  0.0177       0    0.7406
    48.027  0.0501       0    0.7406
    48.269   0.076       0    0.6915
    48.436  0.0166       0    0.6461
    48.636     0.1       0    0.5859
    48.768  0.0168       0    0.5496
    48.968  0.0334       0    0.4981
    49.101  0.0492       0    0.4681
    49.185  0.0163       0    0.4496
    49.351  0.3336       0     0.411
    49.485  0.0167       0    0.3847
    49.568  0.0334       0    0.3713
    49.752  0.0175       0    0.3369
    49.919  0.1992       0    0.3093
     50.07  0.0334       0    0.2874
    50.153  0.0174       0     0.277
    50.203  0.0167       0    0.2709
    50.253   0.016       0    0.2649
    50.387  0.1832       0    0.2455
    50.469  0.0167       0    0.2361
    50.596   0.016       0     0.221
